Ticker,Company Name
AAPL,Apple Inc.
MSFT,Microsoft Corporation
AMZN,Amazon.com Inc.
GOOGL,Alphabet Inc. (Google)
META,Meta Platforms Inc. (formerly Facebook)
BRK-A,Berkshire Hathaway Inc.
JNJ,Johnson & Johnson
V,Visa Inc.
WMT,Walmart Inc.
PG,Procter & Gamble Company
UNH,UnitedHealth Group Incorporated
MA,Mastercard Incorporated
NVDA,NVIDIA Corporation
HD,The Home Depot Inc.
DIS,The Walt Disney Company
KO,The Coca-Cola Company
BAC,Bank of America Corporation
ORCL,Oracle Corporation
SAP,SAP SE
NFLX,Netflix Inc.
LLY,Eli Lilly and Company
COST,Costco Wholesale Corporation
AXP,American Express Company
SHW,The Sherwin-Williams Company
GWW,W.W. Grainger Inc.
JPM,JPMorgan Chase & Co.
QCOM,QUALCOMM Incorporated
BLK,BlackRock Inc.
ADP,Automatic Data Processing Inc.
MCD,McDonald's Corporation
FAST,Fastenal Company
